race,rows,observed_readmission_rate,mean_predicted_risk
Caucasian,15223,0.11278985745253892,0.45607845578286166
AfricanAmerican,3866,0.11174340403517848,0.47876321947869316
,462,0.09090909090909091,0.4080077144043053
Hispanic,404,0.12376237623762376,0.39628034669490464
Other,276,0.07246376811594203,0.4327646340805073
Asian,123,0.08130081300813008,0.39954602116658827
