comparison,feature,feature_type,psi,ks_statistic,js_divergence
train_to_test,medication_down_count,numeric,0.0021464760781966796,0.015521523395599424,
train_to_test,total_prior_utilization,numeric,0.013324297814361152,0.04492145675830883,
train_to_test,acute_prior_utilization,numeric,0.04587493171114411,0.08341468230463345,
train_to_test,has_inpatient_history,numeric,0.0,0.11311065531115339,
train_to_test,labs_per_hospital_day,numeric,0.01646506367704527,0.04646927055072883,
train_to_test,procedures_per_hospital_day,numeric,0.015361998233433309,0.04088809483809153,
train_to_test,medications_per_hospital_day,numeric,0.07386195814568827,0.1085659762601684,
train_to_test,care_intensity,numeric,0.062249819190477285,0.0668165183195866,
train_to_test,prior_encounter_count,numeric,0.08706156355273677,0.11422130592003166,
train_to_test,is_repeat_encounter,numeric,0.0,0.11422130592003166,
train_to_test,prior_mean_time_in_hospital,numeric,0.03295450612743276,0.08836648585625378,
train_to_test,prior_mean_num_lab_procedures,numeric,0.058654305151927585,0.06237941482508021,
train_to_test,prior_mean_num_procedures,numeric,0.060113018391379766,0.07798963309423823,
train_to_test,prior_mean_num_medications,numeric,0.0630885748663711,0.1209959327426473,
train_to_test,prior_mean_number_diagnoses,numeric,0.517408880530424,0.3738252326265872,
train_to_test,race,categorical,,,0.01587213917794008
train_to_test,gender,categorical,,,0.00019040699337494676
train_to_test,age,categorical,,,0.0023020674019636656
train_to_test,admission_type_id,categorical,,,0.04318518688928623
train_to_test,discharge_disposition_id,categorical,,,0.039719658946782775
train_to_test,admission_source_id,categorical,,,0.0438846456089083
train_to_test,diag_1,categorical,,,0.032032893869845536
train_to_test,diag_2,categorical,,,0.09832611897685714
train_to_test,diag_3,categorical,,,0.048419228751038795
train_to_test,max_glu_serum,categorical,,,0.01909611588485142
train_to_test,A1Cresult,categorical,,,0.002579098421741523
train_to_test,metformin,categorical,,,0.0018463663744630874
train_to_test,repaglinide,categorical,,,2.4769046079488996e-05
train_to_test,nateglinide,categorical,,,0.0001135807415915974
train_to_test,chlorpropamide,categorical,,,0.0003046266562004301
train_to_test,glimepiride,categorical,,,0.0010634737600589796
train_to_test,acetohexamide,categorical,,,7.872572733208733e-06
train_to_test,glipizide,categorical,,,0.0006025762657478484
train_to_test,glyburide,categorical,,,0.003164431243994072
train_to_test,tolbutamide,categorical,,,0.00012597189478570953
train_to_test,pioglitazone,categorical,,,0.001065012180029677
train_to_test,rosiglitazone,categorical,,,0.008920969106571393
train_to_test,acarbose,categorical,,,0.00020432644323804095
train_to_test,miglitol,categorical,,,1.3377725082704725e-05
train_to_test,troglitazone,categorical,,,2.361798644881621e-05
train_to_test,tolazamide,categorical,,,0.00030709661285399794
train_to_test,examide,categorical,,,0.0
train_to_test,citoglipton,categorical,,,0.0
train_to_test,insulin,categorical,,,0.008079747375012635
train_to_test,glyburide-metformin,categorical,,,0.0004650346126659683
train_to_test,glipizide-metformin,categorical,,,4.723677767576014e-05
train_to_test,glimepiride-pioglitazone,categorical,,,0.0
train_to_test,metformin-rosiglitazone,categorical,,,9.2410521328415e-05
train_to_test,metformin-pioglitazone,categorical,,,4.620372063243483e-05
train_to_test,change,categorical,,,0.002413939320224731
train_to_test,diabetesMed,categorical,,,0.0008491816030743822
train_to_test,diag_1_family,categorical,,,0.002991304990302708
train_to_test,diag_1_three_digit,categorical,,,0.025044863695411028
train_to_test,diag_2_family,categorical,,,0.0219857632893564
train_to_test,diag_2_three_digit,categorical,,,0.08846342485845958
train_to_test,diag_3_family,categorical,,,0.007447590430624047
train_to_test,diag_3_three_digit,categorical,,,0.04122718630616231
train_to_test,previous_primary_diagnosis_family,categorical,,,0.01624003703795553
train_to_test,previous_discharge_disposition_id,categorical,,,0.025384663867492295
