rows,positive_rate,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score,ece_10_bin,log_loss,flagged_rate,true_positives,false_positives,false_negatives,true_negatives
10822,0.08769173905008316,0.04,0.6612406434211856,0.1746536707606301,0.24838292367399742,0.09882747068676717,0.9325605900948367,0.1787156704361874,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.8274810571058954,885,8070,64,1803
10822,0.08769173905008316,0.06,0.6612406434211856,0.1746536707606301,0.48743300683792273,0.11886604774535808,0.7555321390937829,0.20541469703480877,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.5573831084827204,717,5315,232,4558
10822,0.08769173905008316,0.08,0.6612406434211856,0.1746536707606301,0.6416558861578266,0.1395520551316761,0.5974710221285564,0.22625698324022347,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.37543892071705787,567,3496,382,6377
10822,0.08769173905008316,0.1,0.6612406434211856,0.1746536707606301,0.7283311772315654,0.1495952129531855,0.44783983140147526,0.22427440633245382,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.2625207909813343,425,2416,524,7457
10822,0.08769173905008316,0.12,0.6612406434211856,0.1746536707606301,0.7883940121973757,0.16187594553706505,0.3382507903055848,0.2189631650750341,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.1832378488264646,321,1662,628,8211
10822,0.08769173905008316,0.14,0.6612406434211856,0.1746536707606301,0.8374607281463685,0.18506998444790046,0.2507903055848261,0.21297539149888142,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.1188320088708187,238,1048,711,8825
10822,0.08769173905008316,0.16,0.6612406434211856,0.1746536707606301,0.8685085936056182,0.22183098591549297,0.19915700737618547,0.20988339811215992,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.07872851598595454,189,663,760,9210
10822,0.08769173905008316,0.18000000000000002,0.6612406434211856,0.1746536707606301,0.8843097394197006,0.24623115577889448,0.15489989462592202,0.19016817593790428,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.05516540380705969,147,450,802,9423
10822,0.08769173905008316,0.2,0.6612406434211856,0.1746536707606301,0.8950286453520606,0.2736077481840194,0.11907270811380401,0.16593245227606462,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.03816300129366106,113,300,836,9573
10822,0.08769173905008316,0.22,0.6612406434211856,0.1746536707606301,0.9008501201256699,0.29333333333333333,0.09272918861959958,0.14091273018414732,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.02772130844575864,88,212,861,9661
10822,0.08769173905008316,0.24000000000000002,0.6612406434211856,0.1746536707606301,0.9051931251155054,0.3209302325581395,0.07270811380400422,0.11855670103092783,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.019866937719460357,69,146,880,9727
10822,0.08769173905008316,0.26,0.6612406434211856,0.1746536707606301,0.9076880428756238,0.34375,0.05795574288724974,0.09918845807033363,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.014784697837737941,55,105,894,9768
10822,0.08769173905008316,0.27999999999999997,0.6612406434211856,0.1746536707606301,0.9098133431897986,0.3884297520661157,0.04952581664910432,0.08785046728971962,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.011180927739789319,47,74,902,9799
10822,0.08769173905008316,0.3,0.6612406434211856,0.1746536707606301,0.9106449824431713,0.40816326530612246,0.04214963119072708,0.07640878701050621,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.009055627425614488,40,58,909,9815
