learning_rate,max_leaf_nodes,min_samples_leaf,l2_regularization,iterations_run,validation_roc_auc,validation_pr_auc,validation_brier
0.08,15,30,1.0,46,0.6430738166504459,0.14794986901811177,0.07476198437570528
0.03,15,30,1.0,117,0.6386519792374412,0.14560168438511975,0.07484692543809639
0.03,31,30,1.0,79,0.638164515122023,0.14466023186022947,0.07480544101183444
0.05,63,60,3.0,40,0.6374693948130329,0.14869261811401777,0.07465515255971474
0.05,31,30,1.0,53,0.6374103268021865,0.1456422563356578,0.07488904251540889
0.03,31,60,3.0,74,0.6371497236351616,0.14533257164634872,0.07476942153766473
0.05,31,60,3.0,55,0.6371377876122445,0.14405298796137528,0.07494422875673741
0.05,15,30,1.0,64,0.6363758714826988,0.14384528737981234,0.07489493159435272
0.08,31,60,3.0,39,0.6327809862215448,0.14427144141525666,0.0751715092103651
