rows,positive_rate,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score,ece_10_bin,log_loss,flagged_rate,true_positives,false_positives,false_negatives,true_negatives,model,split
63512,0.11355334424990553,0.02,0.5706392838460469,0.14148679736499392,0.11355334424990553,0.11355334424990553,1.0,0.20394774051241446,0.1980827213195671,0.3134578936329056,0.5885466374616399,1.0,7212,56300,0,0,CatBoost grouped-grid temperature-scaled,train
9287,0.08258856466027781,0.02,0.5309123865312693,0.09178209259646225,0.08258856466027781,0.08258856466027781,1.0,0.1525760891187587,0.192497412717143,0.34202770626365026,0.5772746112239979,1.0,767,8520,0,0,CatBoost grouped-grid temperature-scaled,validation
10822,0.08769173905008316,0.02,0.5233024212557436,0.09433291803100328,0.08769173905008316,0.08769173905008316,1.0,0.16124373460198793,0.19321661352255692,0.3367609463924869,0.5787236715664786,1.0,949,9873,0,0,CatBoost grouped-grid temperature-scaled,test
63512,0.11355334424990553,0.142,0.7196428896875053,0.2640163071906423,0.787079607003401,0.25045472518782125,0.4391292290626733,0.3189807120914539,0.09368254952071099,0.016157795491123277,0.32250625542714206,0.19909623378259225,3167,9478,4045,46822,FT-Transformer dense zero-dropout temperature-scaled,train
9287,0.08258856466027781,0.142,0.646674746436026,0.15742215448813615,0.8280391945730591,0.18125960061443933,0.3076923076923077,0.22812953117448043,0.07383410806610302,0.010563119910232266,0.2749585245163325,0.1401959728652956,236,1066,531,7454,FT-Transformer dense zero-dropout temperature-scaled,validation
10822,0.08769173905008316,0.142,0.6527056419477841,0.1557476624359651,0.821012751801885,0.16845637583892617,0.2644889357218124,0.2058220582205822,0.07809121356626235,0.011715983410917286,0.2860265666652044,0.13768249861393458,251,1239,698,8634,FT-Transformer dense zero-dropout temperature-scaled,test
63512,0.11355334424990553,0.098,0.73164683219895,0.2752423511351118,0.6929084267539992,0.21397989575577067,0.6375485302273988,0.32041811846689894,0.09415397751057072,0.021743090725440433,0.3237047952803711,0.33832976445396146,4598,16890,2614,39410,Autoencoder-64 + HistGradientBoosting,train
9287,0.08258856466027781,0.098,0.6181309718371069,0.13363699728371708,0.6966727683859157,0.1270014556040757,0.455019556714472,0.19857752489331437,0.07459222373819023,0.0038569400889117496,0.27842226988054314,0.2958974911166146,349,2399,418,6121,Autoencoder-64 + HistGradientBoosting,validation
10822,0.08769173905008316,0.098,0.6282247130763009,0.13397502940399464,0.7062465348364443,0.13152676801057503,0.41938883034773444,0.20025157232704402,0.07879691155897314,0.0068481107995154175,0.2894705933740454,0.2796155978562188,398,2628,551,7245,Autoencoder-64 + HistGradientBoosting,test
