name,depth,learning_rate,l2_leaf_reg,random_strength,best_iteration,validation_roc_auc,validation_pr_auc,validation_brier
d5_lr05,5,0.05,5.0,0.5,1210,0.6550047131987929,0.17049482972607785,0.073947524716943
d6_lr05,6,0.05,5.0,0.5,778,0.6523411437770473,0.16685908863016916,0.07407363471401683
d7_lr03,7,0.03,10.0,0.5,1039,0.6549816062826328,0.1698209538997162,0.07390442787757127
d7_lr05,7,0.05,10.0,0.5,616,0.6527434489597297,0.16481030052261228,0.07412225856265595
d8_lr03,8,0.03,10.0,0.5,1036,0.6520254512734818,0.1667139468663252,0.07402363801828987
d8_lr05,8,0.05,10.0,0.5,837,0.655347797344694,0.1685371981699908,0.07392582466438312
d6_lr08,6,0.08,10.0,1.0,500,0.6521547581884177,0.16992112483890087,0.0740282344507524
d7_lr08,7,0.08,10.0,1.0,360,0.6509111164160102,0.16451107698726544,0.07421483947544666
