catboost_weight,xgboost_weight,tabm_weight,validation_pr_auc,validation_roc_auc
0.30000000000000004,0.49999999999999994,0.2,0.17627455923264995,0.6562743693801225
0.15000000000000002,0.5499999999999999,0.30000000000000004,0.17622990991949744,0.6546212302060953
0.25,0.5,0.25,0.1761619238250452,0.6556703760153271
0.2,0.5,0.30000000000000004,0.17604635182119954,0.6549067766004983
0.25,0.55,0.19999999999999996,0.17602797905694584,0.6560267734175589
0.2,0.6000000000000001,0.19999999999999996,0.1760234935440446,0.6557347999338927
0.2,0.45,0.35000000000000003,0.17592765086214113,0.6542775339564549
0.30000000000000004,0.39999999999999997,0.3,0.1758492114747809,0.6553653953272001
0.35000000000000003,0.39999999999999997,0.24999999999999994,0.17583257550678696,0.6560604391232225
0.30000000000000004,0.44999999999999996,0.25,0.17582833673026083,0.6559112388367581
0.2,0.55,0.25,0.1757726549524034,0.6553709042608542
0.1,0.6000000000000001,0.29999999999999993,0.1757721650197565,0.6542175477899994
0.1,0.55,0.35,0.17576456025577367,0.653671245202637
0.4,0.39999999999999997,0.2,0.17571741045079517,0.6566229624596777
0.25,0.45,0.3,0.17571501682408103,0.6551341731396636
0.15000000000000002,0.6,0.25,0.1756955155530861,0.6550340941782813
0.2,0.75,0.050000000000000044,0.1756628203410838,0.6561106316298486
0.35000000000000003,0.35,0.29999999999999993,0.17565734904588493,0.6555424463338047
0.2,0.65,0.15000000000000002,0.17564477404738163,0.6559543921503816
0.05,0.6,0.35,0.1756091057249461,0.6532990861291172
0.35000000000000003,0.44999999999999996,0.19999999999999996,0.17560187498725743,0.6564676411358197
0.25,0.6000000000000001,0.1499999999999999,0.175598442179122,0.6562529457492455
0.05,0.6499999999999999,0.30000000000000004,0.17559296039899489,0.653785555575959
0.5,0.35000000000000003,0.14999999999999997,0.17559124452169808,0.6572664365156607
0.15000000000000002,0.49999999999999994,0.35000000000000003,0.17558626511676145,0.6539952011066835
0.25,0.4,0.35,0.1755634619908433,0.6545366068641314
0.45,0.4,0.15000000000000002,0.17555604471272324,0.6571423324825092
0.30000000000000004,0.5499999999999999,0.15000000000000002,0.17555338295748693,0.6565383391177138
0.25,0.65,0.09999999999999998,0.17555011963946437,0.6564423918565718
0.4,0.44999999999999996,0.15000000000000002,0.1755305768471037,0.6569853278733679
0.35000000000000003,0.49999999999999994,0.14999999999999997,0.17552634430517927,0.6567876183655607
0.5,0.30000000000000004,0.19999999999999996,0.17550915509243548,0.6568551028028231
0.15000000000000002,0.6499999999999999,0.20000000000000007,0.17550636189209134,0.6553733526758115
0.15000000000000002,0.44999999999999996,0.4,0.17550133771324755,0.6533292322382797
0.1,0.65,0.25,0.17549771013119692,0.6546827466318993
0.4,0.35,0.25,0.17549111907141507,0.656193112608725
0.1,0.5,0.4,0.1754864030413256,0.6530244045760876
0.35000000000000003,0.5499999999999999,0.09999999999999998,0.17547534189000677,0.6570087408413977
0.45,0.35000000000000003,0.2,0.17542341850297544,0.6567585434379418
0.0,0.6000000000000001,0.3999999999999999,0.17540560757790796,0.6522973783596844
0.15000000000000002,0.7499999999999999,0.10000000000000009,0.17538733496910777,0.6557237820665847
