feature,coefficient,abs_coefficient
cat__diag_1_V58,1.3356265793237936,1.3356265793237936
cat__diag_2_782,-0.900340614329523,0.900340614329523
cat__diag_1_566,-0.7978551850078196,0.7978551850078196
cat__diag_1_386,-0.7928936688072188,0.7928936688072188
cat__diag_1_443,0.7775780206086903,0.7775780206086903
cat__diag_2_272,-0.7758723864820017,0.7758723864820017
cat__diag_3_553,-0.7758694091661991,0.7758694091661991
cat__diag_2_507,-0.7627087668597995,0.7627087668597995
cat__diag_1_250.41,0.7445104079237769,0.7445104079237769
cat__age_[0-10),-0.7103716532541625,0.7103716532541625
cat__diag_1_218,-0.7051620962784804,0.7051620962784804
cat__diag_1_723,-0.6980988564269957,0.6980988564269957
cat__diag_1_V55,-0.6334657265329071,0.6334657265329071
cat__diag_2_V43,-0.6328794438913217,0.6328794438913217
cat__diag_1_298,0.630569430808583,0.630569430808583
cat__diag_1_726,-0.6285919742810572,0.6285919742810572
cat__diag_3_250.42,0.6229938701231492,0.6229938701231492
cat__diag_1_481,-0.6129275984690766,0.6129275984690766
cat__diag_1_654,-0.5815898172105827,0.5815898172105827
cat__diag_3_255,0.5748973373233772,0.5748973373233772
