primary_weight,secondary_weight,validation_roc_auc,validation_pr_auc
0.8500000000000001,0.1499999999999999,0.6561594469030612,0.17086085135233284
0.9500000000000001,0.04999999999999993,0.6561580696696476,0.17099983363242865
0.9,0.09999999999999998,0.65615118350258,0.17085046436789256
1.0,0.0,0.6561453685170564,0.17075945418768573
0.8,0.19999999999999996,0.6561273114567457,0.17079156458073555
0.75,0.25,0.6560567665007866,0.170686610410463
0.7000000000000001,0.29999999999999993,0.6559755097293889,0.17064817106421953
0.65,0.35,0.6558549252927386,0.17073959358428173
0.6000000000000001,0.3999999999999999,0.6557262304815421,0.17067548098465601
0.55,0.44999999999999996,0.6556073293301748,0.17076144546256905
0.5,0.5,0.6554683817813444,0.17065358327833557
0.45,0.55,0.6552991350974163,0.170713045383917
0.4,0.6,0.6551612587301295,0.17048590267190433
0.35000000000000003,0.6499999999999999,0.6549857379828733,0.17031054982904664
0.30000000000000004,0.7,0.6547956797718077,0.17035887361797059
0.25,0.75,0.6545910840969328,0.17012525706506768
0.2,0.8,0.6543779189697069,0.17010708561831803
0.15000000000000002,0.85,0.6541462377043661,0.17005322256977234
0.1,0.9,0.6538969584565192,0.16983410468611265
0.05,0.95,0.6536311524077101,0.1692761949954666
0.0,1.0,0.6533703962147505,0.1687954748642061
