epoch,train_binary_cross_entropy,validation_pr_auc,validation_roc_auc
1,0.3805653727054596,0.1434035743576714,0.6308535480593251
2,0.3371868803501129,0.1552791023538738,0.6433389340825482
3,0.32959690630435945,0.15992381890953014,0.6424738784729236
4,0.3257498950958252,0.16321503395936998,0.6406137717220315
5,0.32090695929527285,0.16401625325047892,0.6394315698624602
6,0.31834719514846804,0.15968811307942735,0.6389135770730423
7,0.31187930625677107,0.156461428438857,0.633709318055224
8,0.30742797660827637,0.15057371631456287,0.6379989410605309
9,0.2996103992462158,0.151105569762589,0.6380754540279487
