series,lag,acf,ljung_box_q,ljung_box_p_value,reject_no_autocorrelation_0_05
train_target_encounter_order_proxy,1,0.004698910768615396,1.4023961106036467,0.23632279531288536,False
train_target_encounter_order_proxy,2,0.001412078415199268,1.5290448204196776,0.4655562227866873,False
train_target_encounter_order_proxy,3,0.0021921603914625922,1.834280032247269,0.6075037794513358,False
train_target_encounter_order_proxy,4,0.01016755233562038,8.400715047080023,0.07795448519190282,False
train_target_encounter_order_proxy,5,0.007506399109847256,11.97975840502384,0.035066192236681754,True
train_target_encounter_order_proxy,6,0.0003268341980052246,11.98654364917103,0.06226967318229182,False
train_target_encounter_order_proxy,7,0.0008118385997898675,12.028409191963934,0.09962847888475808,False
train_target_encounter_order_proxy,8,0.0050331557780896674,13.637590267326841,0.09171440081758235,False
train_target_encounter_order_proxy,9,-0.00355418717094911,14.440028478018382,0.10751097019104683,False
train_target_encounter_order_proxy,10,0.0005107102254399561,14.456597121642115,0.15316473740090622,False
train_target_encounter_order_proxy,11,-0.001681183654600953,14.63614282098053,0.19976769839744135,False
train_target_encounter_order_proxy,12,-0.0013703610240698581,14.755437623925948,0.25508414248419464,False
train_target_encounter_order_proxy,13,0.006917870483909426,17.795645092096585,0.16543397242924332,False
train_target_encounter_order_proxy,14,0.002710281428371612,18.262298009753295,0.19509423462813763,False
train_target_encounter_order_proxy,15,0.0023954249312596867,18.626831284737005,0.23114472374579317,False
train_target_encounter_order_proxy,16,-0.0027684448050854255,19.113743449663303,0.26280895340130506,False
train_target_encounter_order_proxy,17,-0.0005805847916253294,19.135158398284666,0.32082959851846465,False
train_target_encounter_order_proxy,18,0.0001994971846379884,19.13768691662646,0.3833912039513896,False
train_target_encounter_order_proxy,19,0.0005103198151690817,19.154232583254768,0.44698276431412876,False
train_target_encounter_order_proxy,20,0.0019160809190754177,19.387489181760618,0.49678214509913243,False
existing_catboost_test_residual_encounter_order_proxy,1,0.0032657783581648437,0.11545196513825759,0.7340205295367958,False
existing_catboost_test_residual_encounter_order_proxy,2,-0.0130603106733312,1.9620614765875422,0.37492445063053187,False
existing_catboost_test_residual_encounter_order_proxy,3,-0.0034394081816771223,2.0901397995759,0.5539101232954999,False
existing_catboost_test_residual_encounter_order_proxy,4,0.01662992488458126,5.084671474366939,0.27871949007196006,False
existing_catboost_test_residual_encounter_order_proxy,5,0.003096731409824168,5.1885188585988775,0.3933091865040351,False
existing_catboost_test_residual_encounter_order_proxy,6,0.024755166251069678,11.825343291965538,0.06598054601904091,False
existing_catboost_test_residual_encounter_order_proxy,7,-0.006324984995828584,12.258642393630561,0.0923677143970588,False
existing_catboost_test_residual_encounter_order_proxy,8,0.00496655990985426,12.525832458317511,0.1292391817235892,False
existing_catboost_test_residual_encounter_order_proxy,9,-0.004086657206732329,12.706752021492601,0.17633051151298412,False
existing_catboost_test_residual_encounter_order_proxy,10,0.011797066521073584,14.214529780415882,0.16342922160377257,False
existing_catboost_test_residual_encounter_order_proxy,11,-0.00855335264762212,15.007217630931272,0.1821667414560667,False
existing_catboost_test_residual_encounter_order_proxy,12,-0.020571048637366363,19.592673111010996,0.0751942963647887,False
existing_catboost_test_residual_encounter_order_proxy,13,-0.018464312466512596,23.287346718969943,0.03835449485397763,True
existing_catboost_test_residual_encounter_order_proxy,14,-0.0021971572512469255,23.339667263877686,0.054962330080431686,False
existing_catboost_test_residual_encounter_order_proxy,15,0.010363713382435344,24.50384944866233,0.05701646515615434,False
existing_catboost_test_residual_encounter_order_proxy,16,0.003911171427630297,24.66967217575243,0.07586438130510707,False
existing_catboost_test_residual_encounter_order_proxy,17,0.005595557771080428,25.009107713776146,0.09450593644519129,False
existing_catboost_test_residual_encounter_order_proxy,18,0.02591570447224277,32.29087466351414,0.020305889373407104,True
existing_catboost_test_residual_encounter_order_proxy,19,-0.018934097652707482,36.178103989100535,0.010036283311537155,True
existing_catboost_test_residual_encounter_order_proxy,20,-0.0001789346466615013,36.178451189343434,0.01465463849281671,True
