k,validation_roc_auc,validation_pr_auc,validation_brier,validation_selected
15,0.6143148110741808,0.13912965070590594,0.07492024340508031,false
25,0.6512095169889393,0.15947670461894098,0.07417610302341969,false
35,0.6516999651100869,0.16487985379682812,0.0740621550484278,false
50,0.6554374705425076,0.16969575788397273,0.07399947256538794,true
71,0.6550047131987929,0.17049482972607785,0.073947524716943,false
