primary_weight,secondary_weight,validation_roc_auc,validation_pr_auc
0.8,0.19999999999999996,0.6533703962147505,0.1687954748642061
0.5,0.5,0.6533639691254874,0.16885998287075077
0.7000000000000001,0.29999999999999993,0.653349431661678,0.16855970504603845
0.8500000000000001,0.1499999999999999,0.6533475953504599,0.1686042469268134
0.65,0.35,0.6533468302207859,0.1684251650761325
0.6000000000000001,0.3999999999999999,0.6533456060133072,0.16837906009547113
0.55,0.44999999999999996,0.6533440757539588,0.16874729133772456
0.75,0.25,0.6533414743130666,0.16859761096374368
0.45,0.55,0.65332892618641,0.16900280601489365
0.9,0.09999999999999998,0.6533075025555332,0.16830306470097603
0.4,0.6,0.6532912818064405,0.16887318623960523
0.9500000000000001,0.04999999999999993,0.6532752140832828,0.1683878992347275
0.35000000000000003,0.6499999999999999,0.6532710823830423,0.168669868517544
1.0,0.0,0.6532502708559046,0.1683337273770486
0.30000000000000004,0.7,0.6532190535651983,0.16859398505915713
0.25,0.75,0.6531869181188827,0.168532559009171
0.2,0.8,0.6531376437678658,0.1684413614561971
0.15000000000000002,0.85,0.6530686290712551,0.16822817539983315
0.1,0.9,0.653010020138213,0.16787450731026626
0.05,0.95,0.6529475855568001,0.16786763449289363
0.0,1.0,0.6528903538571718,0.16754815921313865
