rows,positive_rate,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score,ece_10_bin,log_loss,flagged_rate,true_positives,false_positives,false_negatives,true_negatives,model,split
63512,0.11355334424990553,0.126,0.7287866556528539,0.3253489505647287,0.783379518831087,0.2564732142857143,0.4779534109816972,0.3338175479372458,0.09137937476050455,0.02117545328190895,0.3174348716273292,0.21161355334424992,3447,9993,3765,46307,CatBoost later-validation-gated pair,train
9287,0.08258856466027781,0.126,0.6533703962147505,0.1687954748642061,0.7984279099816949,0.1661631419939577,0.35853976531942633,0.22708505367464904,0.07334409846007034,0.00841278409815941,0.27243549325287875,0.1782060945407559,275,1380,492,7140,CatBoost later-validation-gated pair,validation
10822,0.08769173905008316,0.126,0.6634401258469389,0.17385917622948935,0.8113102938458695,0.1689884918231375,0.2939936775553214,0.21461538461538462,0.0773363624456613,0.009185362440425069,0.28300873552465033,0.1525596008131584,279,1372,670,8501,CatBoost later-validation-gated pair,test
63512,0.11355334424990553,0.12200000000000001,0.7602803818187371,0.39250519269352985,0.786134903640257,0.2768476357267951,0.547975596228508,0.36785032810536605,0.08788596373486887,0.020396580225838797,0.30484271974438415,0.22476067514800352,3952,10323,3260,45977,Existing CatBoost ensemble,train
9287,0.08258856466027781,0.12200000000000001,0.6561453685170564,0.17075945418768573,0.7866910735436632,0.16202672605790647,0.379400260756193,0.22707764338665626,0.07325711333996565,0.007315761795058231,0.27208623551606687,0.1933886077312372,291,1505,476,7015,Existing CatBoost ensemble,validation
10822,0.08769173905008316,0.12200000000000001,0.6612406434211856,0.1746536707606301,0.7940306782480133,0.1638655462184874,0.3287671232876712,0.21871713985278654,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.1759379042690815,312,1592,637,8281,Existing CatBoost ensemble,test
63512,0.11355334424990553,0.114,0.7563402026817353,0.3841877625741447,0.7634935130369064,0.25771020788085636,0.5758458125346645,0.35606807562052556,0.08836927422274374,0.020513411184249312,0.30653776339025673,0.25373157828441867,4153,11962,3059,44338,Existing + later-gated CatBoost blend,train
9287,0.08258856466027781,0.114,0.6561594469030612,0.17086085135233284,0.7642941746527404,0.15451895043731778,0.41460234680573665,0.22513274336283187,0.07324881810212995,0.007849783443626374,0.2720452323301531,0.2216000861419188,318,1740,449,6780,Existing + later-gated CatBoost blend,validation
10822,0.08769173905008316,0.114,0.6618901994209495,0.1746904381364287,0.7722232489373498,0.15576748410535876,0.36143308746048475,0.21770866391621707,0.07729280924684043,0.00895483001790432,0.28295150808048614,0.20347440399186842,343,1859,606,8014,Existing + later-gated CatBoost blend,test
