latent_dim,epoch,train_reconstruction_mse,validation_reconstruction_mse
32,1,0.046892095031955884,0.026849600668422364
32,2,0.020862882099454364,0.01666245409776451
32,3,0.015072378448195874,0.014431727338312108
32,4,0.013325042638277251,0.013117411419342404
32,5,0.012547838959902052,0.012747968453630997
32,6,0.012190972632240681,0.01245363283311212
32,7,0.011984709206791152,0.012133536453762054
32,8,0.011750514899927473,0.01203441283918859
32,9,0.011584813410918864,0.011806657270807293
32,10,0.011397675211940492,0.011770494922573899
32,11,0.011258600530998102,0.011492823681001406
32,12,0.011137363870465567,0.011519000530506944
32,13,0.011043791008728838,0.011365187658346536
32,14,0.011003076971050293,0.011859283174959255
32,15,0.010981412205312933,0.01137067108478931
64,1,0.04472475197343599,0.02411628603892718
64,2,0.018576737360230515,0.014788049123859092
64,3,0.012981020017630525,0.011910824634761
64,4,0.010667602871618574,0.010125270994565035
64,5,0.009403937348415927,0.009289965247586093
64,6,0.008608424429973912,0.0089212714086125
64,7,0.008205886878487136,0.0080740936801281
64,8,0.0077497835773679,0.007899469398456016
64,9,0.007498265000148898,0.007527678695525256
64,10,0.007290526330175381,0.00746034829021997
64,11,0.007138522253150032,0.007369872193871597
64,12,0.007049979087674902,0.007379308781514656
64,13,0.006957457142157687,0.007184306491187126
64,14,0.006940126167758117,0.007401050502340002
64,15,0.006842117320509657,0.007242034880977523
