rows,positive_rate,threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,brier_score,ece_10_bin,log_loss,flagged_rate,true_positives,false_positives,false_negatives,true_negatives,model,split
63512,0.11355334424990553,0.12200000000000001,0.7602803818187371,0.39250519269352985,0.786134903640257,0.2768476357267951,0.547975596228508,0.36785032810536605,0.08788596373486887,0.020396580225838797,0.30484271974438415,0.22476067514800352,3952,10323,3260,45977,Existing CatBoost ensemble,train
9287,0.08258856466027781,0.12200000000000001,0.6561453685170564,0.17075945418768573,0.7866910735436632,0.16202672605790647,0.379400260756193,0.22707764338665626,0.07325711333996565,0.007315761795058231,0.27208623551606687,0.1933886077312372,291,1505,476,7015,Existing CatBoost ensemble,validation
10822,0.08769173905008316,0.12200000000000001,0.6612406434211856,0.1746536707606301,0.7940306782480133,0.1638655462184874,0.3287671232876712,0.21871713985278654,0.07730718522952124,0.008789496724251594,0.28305806082906804,0.1759379042690815,312,1592,637,8281,Existing CatBoost ensemble,test
63512,0.11355334424990553,0.136,0.7297283206201624,0.30612227866672,0.8030293487844816,0.27524181231970135,0.44980587909040487,0.3415096325929045,0.09207292847086808,0.020651231024510688,0.31849702972927074,0.18557123063358105,3244,8542,3968,47758,XGBoost temperature-scaled,train
9287,0.08258856466027781,0.136,0.6538402623476626,0.17291582578367273,0.8258856466027781,0.1760670731707317,0.3011734028683181,0.2222222222222222,0.07323390729717286,0.00839350906655286,0.27244046839700414,0.1412727468504361,231,1081,536,7439,XGBoost temperature-scaled,validation
10822,0.08769173905008316,0.136,0.6377135031122868,0.15604831735768754,0.8260949916836074,0.16511127063890882,0.24236037934668073,0.1964133219470538,0.07832260846765396,0.014225238482950138,0.2880782732939652,0.12871927554980594,230,1163,719,8710,XGBoost temperature-scaled,test
63512,0.11355334424990553,0.18,0.7452261008640622,0.294702865437717,0.8348501070663812,0.3118612929153749,0.37659456461453134,0.3411845989573519,0.09152473971418794,0.014520057896122438,0.3135088168951556,0.13712369316034764,2716,5993,4496,50307,TabM temperature-scaled,train
9287,0.08258856466027781,0.18,0.6394315698624602,0.16401625325047892,0.8584042209540218,0.20087336244541484,0.23989569752281617,0.21865715983363043,0.07408534691204398,0.016146821074398025,0.2781668127467914,0.09863249703887154,184,732,583,7788,TabM temperature-scaled,validation
10822,0.08769173905008316,0.18,0.6401765007801395,0.1549822998855161,0.8568656440583996,0.19635627530364372,0.20442571127502634,0.20030975735673723,0.078578322729826,0.019026970601865926,0.29038374197072747,0.09129550914803179,194,794,755,9079,TabM temperature-scaled,test
63512,0.11355334424990553,0.154,0.749251730636427,0.3436914266116267,0.8339841289834992,0.31961888263317456,0.40931780366056575,0.35894941634241245,0.09034659391333927,0.020515651241806668,0.31173039548667114,0.1454213376999622,2952,6284,4260,50016,CatBoost + XGBoost + TabM stack,train
9287,0.08258856466027781,0.154,0.6562743693801225,0.17627455923264995,0.8585118983525358,0.20811099252934898,0.2542372881355932,0.22887323943661972,0.07309594321838914,0.008393312067065993,0.271877728891551,0.10089372240766663,195,742,572,7778,CatBoost + XGBoost + TabM stack,validation
10822,0.08769173905008316,0.154,0.6511757273111403,0.16529267990045038,0.8558491960820551,0.19541375872382852,0.2065331928345627,0.20081967213114754,0.07778475004699952,0.012743679989196352,0.2853593688386965,0.09268157457031972,196,807,753,9066,CatBoost + XGBoost + TabM stack,test
