model,validation_roc_auc,test_roc_auc,test_minus_validation_roc_auc,validation_pr_auc,test_pr_auc,test_minus_validation_pr_auc,validation_f1,test_f1,test_minus_validation_f1,validation_recall,test_recall,test_minus_validation_recall,validation_accuracy,test_accuracy,test_minus_validation_accuracy,validation_brier_score,test_brier_score,test_minus_validation_brier_score,validation_ece_10_bin,test_ece_10_bin,test_minus_validation_ece_10_bin
Logistic Regression,0.6407664150920298,0.6204882086801643,-0.020278206411865507,0.15633850614454836,0.14451329540913416,-0.011825210735414204,0.21978021978021978,0.1953362622507604,-0.02444395752945938,0.37809647979139505,0.30453108535300316,-0.07356539443839188,0.7782922364595671,0.7799852153021622,0.0016929788425951164,0.0746794287234365,0.07930830243595155,0.0046288737125150525,0.02319826362827616,0.014710628560850116,-0.008487635067426044
HistGradientBoosting,0.6373608229122671,0.6267965116943027,-0.010564311217964417,0.14532957720157444,0.14383032388684033,-0.0014992533147341058,0.2096825905739019,0.20191765369430345,-0.00776493687959845,0.42633637548891784,0.3772391991570074,-0.049097176331910464,0.7345752126628621,0.7384956569950102,0.00392044433214811,0.0749410132249477,0.07910263174817295,0.004161618523225247,0.02165274734787055,0.014527108704689656,-0.007125638643180892
CatBoost tuned primary,0.6550047131987929,0.6603192472749546,0.00531453407616167,0.17049482972607785,0.17239551472025358,0.0019006849941757276,0.22714285714285715,0.22018927444794953,-0.006953582694907617,0.41460234680573665,0.3677555321390938,-0.046846814666642866,0.7669861096155917,0.7715764184069488,0.004590308791357134,0.073947524716943,0.07765676117835184,0.0037092364614088325,0.02441792369133082,0.01610857066144104,-0.00830935302988978
CatBoost tuned ensemble raw,0.6561453685170564,0.6612406434211856,0.005095274904129199,0.17075945418768573,0.1746536707606301,0.0038942165729443645,0.22681215900233828,0.21888111888111889,-0.007931040121219396,0.379400260756193,0.32982086406743943,-0.04957939668875355,0.786368041348121,0.7935686564405839,0.0072006150924629475,0.07386578086678729,0.07754468696775156,0.0036789061009642743,0.024108585671451355,0.01603438326265954,-0.008074202408791815
CatBoost tuned ensemble temperature-scaled,0.6561453685170564,0.6612406434211856,0.005095274904129199,0.17075945418768573,0.1746536707606301,0.0038942165729443645,0.22707764338665626,0.21871713985278654,-0.008360503533869718,0.379400260756193,0.3287671232876712,-0.05063313746852177,0.7866910735436632,0.7940306782480133,0.007339604704350133,0.07325711333996565,0.07730718522952124,0.004050071889555584,0.007315761795058231,0.008789496724251594,0.0014737349291933629
DNN raw,0.6427199441761391,0.6316272509127244,-0.011092693263414666,0.1614110644042797,0.1481197627586855,-0.013291301645594222,0.22065934065934065,0.19723714504988488,-0.02342219560945577,0.3272490221642764,0.2708113804004215,-0.05643764176385491,0.809087972434586,0.8066900757715764,-0.002397896663009602,0.07613518338868078,0.08032540424850908,0.0041902208598283,0.043463602859171696,0.03541503533646452,-0.008048567522707176
DNN temperature-scaled,0.6427199441761391,0.6316273042774959,-0.011092639898643175,0.1614110644042797,0.1481197816023052,-0.013291282801974502,0.22056892778993437,0.19642177388656262,-0.024147153903371743,0.3285528031290743,0.2718651211801897,-0.05668768194888463,0.8082265532464735,0.804934392903345,-0.003292160343128514,0.07391776105550944,0.07879610842299602,0.004878347367486574,0.012546816621720528,0.018727344676025475,0.006180528054304947
FT-Transformer raw,0.6480440225009335,0.6463027765583929,-0.001741245942540659,0.1596855152236687,0.1594360228295275,-0.00024949239414118196,0.22427871529667937,0.19866284622731614,-0.025615869069363223,0.2685788787483703,0.2191780821917808,-0.049400796556589466,0.8465597071174761,0.8449454814267233,-0.0016142256907527575,0.07526687811127533,0.0789649875420947,0.0036981094308193713,0.037008644938056445,0.028382958213698628,-0.008625686724357817
FT-Transformer temperature-scaled,0.6480440225009335,0.6463027765583929,-0.001741245942540659,0.1596855152236687,0.1594360228295275,-0.00024949239414118196,0.22445561139028475,0.20327624720774387,-0.021179364182540877,0.3494132985658409,0.2876712328767123,-0.0617420656891286,0.8005814579519759,0.802254666420255,0.0016732084682791193,0.07371911358919767,0.07802557715274754,0.00430646356354987,0.009174339172686079,0.013488867208430845,0.004314528035744766
