primary_weight,secondary_weight,validation_roc_auc,validation_pr_auc
0.45,0.55,0.6561453685170564,0.17075945418768573
0.4,0.6,0.656141848920555,0.17071890821846258
0.5,0.5,0.6561413898427506,0.17117819708864093
0.35000000000000003,0.6499999999999999,0.6561299128976378,0.17056468752550746
0.55,0.44999999999999996,0.6561173647709815,0.17095768532751918
0.6000000000000001,0.3999999999999999,0.6560723751461397,0.17096553483369345
0.30000000000000004,0.7,0.6560595209676137,0.17030704164541902
0.65,0.35,0.6560319762993432,0.1710612435296453
0.25,0.75,0.6560113177981404,0.1701714478965211
0.7000000000000001,0.29999999999999993,0.655966175147364,0.17074276500868008
0.2,0.8,0.6559201143409785,0.16995566240387647
0.75,0.25,0.6558426832179518,0.1707089282542425
0.15000000000000002,0.85,0.655806110019526,0.16963399139990018
0.8,0.19999999999999996,0.6556942480611614,0.17077434716165976
0.1,0.9,0.6556653261594775,0.1693811338653698
0.8500000000000001,0.1499999999999999,0.6555595852385061,0.17048899681374732
0.05,0.95,0.6554971506570935,0.16894100639804444
0.9,0.09999999999999998,0.6554224740008936,0.1710693479636632
0.0,1.0,0.655347797344694,0.1685371981699908
0.9500000000000001,0.04999999999999993,0.6552388428790912,0.17090307298686366
1.0,0.0,0.6550047131987929,0.17049482972607785
